epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,41.3746,0.68281,0.67222,1,0.65918,0.08416,0.00016,0.00016
2,82.175,0.64277,0.68889,1,0.64317,0.0673235,0.000323466,0.000323466
3,122.095,0.64483,0.52778,1,0.6942,0.0504802,0.0004802,0.0004802
4,162.141,0.54469,0.67222,1,0.63779,0.0336302,0.000630202,0.000630202
5,201.275,0.49557,0.65556,1,0.6218,0.0167735,0.000773472,0.000773472
6,243.889,0.50477,0.61667,1,0.68088,0.000901,0.000901,0.000901
7,283.635,0.49681,0.57778,1,0.6646,0.0008812,0.0008812,0.0008812
8,322.735,0.49482,0.65,1,0.65041,0.0008614,0.0008614,0.0008614
9,363.432,0.45148,0.69444,1,0.59916,0.0008416,0.0008416,0.0008416
10,407.247,0.46768,0.72222,1,0.5723,0.0008218,0.0008218,0.0008218
11,453.644,0.4604,0.65,1,0.65818,0.000802,0.000802,0.000802
12,494.598,0.42482,0.67778,1,0.60512,0.0007822,0.0007822,0.0007822
13,535.733,0.33938,0.70556,1,0.57369,0.0007624,0.0007624,0.0007624
14,574.928,0.3173,0.73333,1,0.57083,0.0007426,0.0007426,0.0007426
15,614.84,0.31396,0.66667,1,0.61502,0.0007228,0.0007228,0.0007228
16,654.971,0.3309,0.71111,1,0.58821,0.000703,0.000703,0.000703
17,695.804,0.34627,0.72778,1,0.56421,0.0006832,0.0006832,0.0006832
18,737.021,0.31398,0.61111,1,0.65447,0.0006634,0.0006634,0.0006634
19,777.703,0.29129,0.67778,1,0.62173,0.0006436,0.0006436,0.0006436
20,817.47,0.29615,0.72778,1,0.56031,0.0006238,0.0006238,0.0006238
21,858.515,0.2743,0.67778,1,0.61188,0.000604,0.000604,0.000604
22,901.121,0.25527,0.67222,1,0.63295,0.0005842,0.0005842,0.0005842
23,943.479,0.24303,0.63889,1,0.62959,0.0005644,0.0005644,0.0005644
24,986.713,0.21315,0.66111,1,0.62896,0.0005446,0.0005446,0.0005446
25,1027.28,0.22802,0.67222,1,0.61139,0.0005248,0.0005248,0.0005248
26,1066.91,0.19438,0.68889,1,0.59597,0.000505,0.000505,0.000505
27,1107.86,0.18099,0.66111,1,0.62634,0.0004852,0.0004852,0.0004852
28,1150.23,0.19846,0.70556,1,0.59581,0.0004654,0.0004654,0.0004654
29,1189.97,0.17968,0.67222,1,0.6107,0.0004456,0.0004456,0.0004456
30,1230.03,0.19275,0.65,1,0.62816,0.0004258,0.0004258,0.0004258
31,1270.02,0.16355,0.7,1,0.58717,0.000406,0.000406,0.000406
32,1312.04,0.15922,0.68889,1,0.5974,0.0003862,0.0003862,0.0003862
33,1346.62,0.13491,0.71111,1,0.59544,0.0003664,0.0003664,0.0003664
34,1380.21,0.14115,0.71111,1,0.58648,0.0003466,0.0003466,0.0003466
35,1414.87,0.14459,0.71667,1,0.57531,0.0003268,0.0003268,0.0003268
36,1450.61,0.14409,0.68889,1,0.59125,0.000307,0.000307,0.000307
37,1483.17,0.14482,0.7,1,0.61613,0.0002872,0.0002872,0.0002872
38,1515.07,0.12171,0.68333,1,0.58881,0.0002674,0.0002674,0.0002674
39,1548.3,0.12368,0.71111,1,0.58049,0.0002476,0.0002476,0.0002476
40,1580.74,0.13515,0.68889,1,0.59327,0.0002278,0.0002278,0.0002278
41,1612.84,0.13366,0.67778,1,0.60295,0.000208,0.000208,0.000208
42,1644.74,0.13007,0.68333,1,0.60239,0.0001882,0.0001882,0.0001882
43,1677.36,0.09816,0.67222,1,0.60171,0.0001684,0.0001684,0.0001684
44,1717.18,0.10292,0.66111,1,0.60785,0.0001486,0.0001486,0.0001486
45,1754.36,0.13041,0.66667,1,0.61366,0.0001288,0.0001288,0.0001288
46,1800.51,0.09966,0.66111,1,0.6159,0.000109,0.000109,0.000109
47,1840.09,0.1071,0.67778,1,0.60064,8.92e-05,8.92e-05,8.92e-05
48,1873.96,0.11634,0.67222,1,0.59922,6.94e-05,6.94e-05,6.94e-05
49,1907.53,0.0858,0.67222,1,0.59746,4.96e-05,4.96e-05,4.96e-05
50,1940.88,0.0721,0.68333,1,0.59983,2.98e-05,2.98e-05,2.98e-05
